Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;Architecture_note;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Food.source;Material;Context;Context_summary;Source;MainBibliography;Bibliography;Observations;Excluded;Reason_for_exclusion
Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;n/a;CNA-2274;3115;40;-22,11;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;36,8411;-2,2064;1106124;4098849;South;El Barranquete 11;Tholos;n/a;CNA-2412;3120;35;-17,89;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Human right uln/a from an adult male (21-40 years old). Layer II;Chamber;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a;No;n/a
Spain;36,84316793;-2,207241097;1106032;4099074;South;El Barranquete 8;Tholos;n/a;Beta-440651;3140;30;-19,1;9,5;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Layer 1;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Beta-301937;3160;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Aranda Jimenez, 2013;n/a;n/a;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39503;3168;32;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39495;3183;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;39,865038;4,14709;1626154;4496400;East;Calescoves;Rock-cut-tomb, artificial cave & hypogeum;n/a;IRPA-1185;2525;35;-19,5;10,23;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mound soil;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39499;3218;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39497;3225;36;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;41,8994;1,465;1368559;4691893;Ebro basin;Llanera;Passage grave;n/a;MC-1113;2550;90;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Tumulus;Mound;Muller 1998, 87;n/a;Muller 1998, 87;n/a;No;n/a
